vpos_V,aout_V,aout_std_V,err_V
4.5,2.48601328125,0.00044429914854575257,-0.013986718750000016
4.6,2.487484765625,0.00047033310144869886,-0.012515234374999906
4.7,2.48788671875,0.00047653880576348153,-0.012113281249999996
4.8,2.488111328125,0.000478756317017372,-0.011888671874999979
4.9,2.4882199218750003,0.0004923968738695731,-0.011780078124999704
5.0,2.4884949218749997,0.00048365227710255986,-0.011505078125000345
5.1,2.488445703125,0.0005006841937441843,-0.01155429687499998
5.2,2.488563671875,0.0005057951214019214,-0.01143632812499984
5.3,2.488676953125,0.0005049521304566533,-0.011323046874999854
5.4,2.488681640625,0.0005207555768780634,-0.011318359375000142
5.5,2.48870703125,0.0004875294211875008,-0.011292968749999854
